Food Name,Active Time,Total Time,Yield,Ingredients,Steps,Image
bacon-cheddar-and-onion-quiche,40 mins,4 hrs,8,"2 cups all-purpose flour/n1/2 teaspoon salt/n1/4 teaspoon freshly ground black pepper/n1 1/2 sticks cold unsalted butter, cut into small pieces/n1/2 cup ice water/n1/4 pound thickly sliced bacon/n1 tablespoon vegetable oil/n1 large onion, sliced 1/4 inch thick/nKosher salt and freshly ground black pepper/n3 large eggs/n3/4 cup milk/n1/2 cup crème fraîche/n3 1/2 ounces aged white cheddar cheese, shredded (1 1/4 cups)/n2 tablespoons chopped dill","Step 1: In a medium bowl, whisk together the flour, salt and pepper. Using a pastry cutter or 2 knives, cut in the butter until it resembles small peas. Sprinkle the water on top and mix until the dough begins to come together. Turn the pastry out onto a work surface and gently knead 2 or 3 times, just until it comes together. Pat the pastry into a disk, wrap in plastic and refrigerate until thoroughly chilled, 1 hour./nStep 2: On a lightly floured work surface, roll out the pastry to a 12-inch round, about 1/8 inch thick. Ease the pastry into an 11-inch fluted tart pan with a removable bottom. Trim the overhang so it is flush with the rim of the tart pan. Refrigerate the tart shell for 20 minutes./nStep 3: Preheat the oven to 375°. Line the tart shell with aluminum foil and fill to the top with pie weights or dried beans. Bake for about 50 minutes, until the pastry is golden. Remove the foil and weights and bake the shell for about 25 minutes longer, until richly browned and crisp. Transfer to a rack to cool, for about 10 minutes. Turn the oven down to 325°./nStep 4: In a large skillet, cook the sliced bacon over moderate heat, turning, until browned and crisp, about 6 minutes. Transfer the bacon to paper towels to drain, then coarsely chop. Wipe out the skillet and add the vegetable oil. When the oil is hot, add the sliced onion and season with salt and pepper. Cover and cook over moderately low heat, stirring occasionally, until the onion is lightly caramelized and very soft, about 8 minutes. Let the onion cool./nStep 5: In a medium bowl, whisk the eggs. Whisk in the milk, crème fraîche, 1 teaspoon of salt and 1/4 teaspoon of pepper. Spread the caramelized onion in the tart shell followed by the bacon and cheese. Pour the custard on top./nStep 6: Bake the quiche for 35 minutes, until the custard is just set. Transfer the quiche to a rack and let cool for 15 minutes. Sprinkle the dill on the top. Unmold the quiche and serve in wedges./nStep 7: The unbaked pastry dough can be refrigerated for up to 3 days. The baked pastry shell can be cooled, wrapped in plastic and stored overnight at room temperature before proceeding./nStep 8: Watercress salad dressed with extra-virgin olive oil and fresh lemon juice./nStep 9: This take on a classic Alsatian dish is wonderfully rich, a perfect pairing with the sparkling wine of the Alsace region: Crémant d'Alsace.",https://www.foodandwine.com/thmb/1DA1FOKwvjkUALl-bkJQV5ZMrnE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201112-xl-bacon-cheddar-and-onion-quiche-8a9c57a0654a49a49865e69cf3c7cf0b.jpg
french-scrambled-eggs-with-truffle-oil,,,6,"12 large eggs/n1/4 cup plus 2 tablespoons mineral water/n6 tablespoons cold unsalted butter, cut into small pieces/nSea salt and freshly ground pepper/n2 teaspoons white truffle oil/n1 tablespoon finely chopped chives/n6 warmed brioche rolls, or 12 slices from a loaf of brioche, toasted","Step 1: In a bowl, whisk the eggs and water. Melt 2 tablespoons of the butter in a large stainless steel bowl set over a pot of simmering water. Add the eggs and cook over low heat, gently stirring with a heatproof rubber spatula and scraping the bottom of the bowl until the eggs just begin to set, about 5 minutes. Add the remaining butter to the eggs, 1 piece at a time, and cook, stirring and scraping the bottom and sides of the bowl, until the eggs are thick and cooked through but still soft, about 5 minutes longer. Season with salt and pepper; transfer to plates. Drizzle with the truffle oil, sprinkle with the chives and serve at once with the brioche./nStep 2: The rich, ripe Chardonnay fruit and yeasty aroma of a California sparkling wine make it a real friend to truffles.",https://www.foodandwine.com/thmb/RASWQz0oJR217xZ-5_mIKYr1wV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/FrenchScrambledEggs-d9df4d182d9242a0a5d7831493543a0d.jpg
stovetop-asparagus-frittata,,30 mins,1,"7 thin asparagus spears, cut on the diagonal into 2-inch pieces/n1 tablespoon extra-virgin olive oil/nKosher salt/n2 1/2 tablespoons unsalted butter/n1/4 cup minced shallot/n3 large eggs, preferably organic/n1 ounce thinly sliced prosciutto, torn into pieces/n2 tablespoons crème fraîche, at room temperature/nFreshly cracked black pepper/n1 tablespoon freshly grated Parmigiano-Reggiano cheese","Step 1: Preheat the oven to 400°. On a rimmed baking sheet, toss the asparagus with the olive oil, season with salt and roast for about 10 minutes, stirring occasionally, until tender./nStep 2: Meanwhile, in a small nonstick skillet, melt 1 tablespoon of the butter. Add the shallot and cook over moderate heat, stirring occasionally, until softened, 3 to 4 minutes. Transfer the shallot to a small bowl; wipe out the skillet./nStep 3: In a medium bowl, whisk the eggs with 1/4 teaspoon of salt and 2 teaspoons of cold water. In the skillet, melt the remaining 1 1/2 tablespoons of butter over moderately low heat. Pour in the eggs and cook without stirring until the edge of the frittata has set, about 3 minutes. Using a heatproof rubber spatula, lift up the edge of the frittata and tilt the pan to allow the uncooked eggs to seep underneath. Continue gently cooking the frittata in this way until almost no egg runs when you tilt the pan./nStep 4: Immediately scatter the shallot, prosciutto and asparagus over the frittata and slide it onto a serving plate. Top with the crème fraîche, pepper and grated cheese and serve warm./nStep 5: Zesty, light-bodied Albariño.",https://www.foodandwine.com/thmb/N2Q9sc4ySh9KLVP34wrriWcdXuc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/bncbook2013-xl-stovetop-asparagus-frittata-04629b31a0ee49d191465ca3bd63d0e1.jpg
eggs-baked-in-poblano-tomato-sauce,,40 mins,4,"2 tablespoons extra-virgin olive oil/n3 poblano chiles, seeded and sliced 1/2 inch thick/n3 garlic cloves, chopped/n2 cups jarred tomato sauce/n2 cups halved cherry tomatoes (12 ounces)/n1 teaspoon dried oregano/n4 large eggs/n1 cup crumbled queso fresco (5 ounces)/nChopped cilantro and sliced jalapeños, for garnish/nWarm corn tortillas, for serving","Step 1: Preheat the oven to 425°. In a large cast-iron skillet, heat the olive oil./nStep 2: Add the poblanos and garlic and cook over moderate heat, stirring, until golden, 5 minutes./nStep 3: Stir in the tomato sauce, tomatoes and oregano and cook over low heat until thickened, 10 minutes./nStep 4: Crack the eggs into the tomato sauce and top with the cheese. Bake until set, about 12 minutes. Garnish with cilantro and jalapeños and serve with corn tortillas.",https://www.foodandwine.com/thmb/iSef_FviqZjHPwp7xLMLwd4fdQE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/mexican-baked-eggs-XL-RECIPE0616-0edccf13a39e4a06931d91481a38ceb8.jpg
egg-white-spinach-frittata-salsa-ranchera,,40 mins,4,4  plum tomatoes/n2 cloves garlic (unpeeled)/n2  jalapeños/n2 tablespoons extra-virgin olive oil/nKosher salt/nFreshly ground pepper/n1  white onion (small minced)/n5 ounces baby spinach/n12  egg whites (large lightly beaten),"Step 1: Preheat a large cast-iron skillet or griddle. Add the tomatoes, garlic cloves and jalapeños and roast over high heat, turning occasionally, until softened and charred in spots, about 12 minutes. Transfer to a plate to cool. Remove the stems and seeds from the jalapeños and add them to a blender along with the tomatoes. Peel the garlic and add it to the blender. Pulse to form a coarse salsa./nStep 2: Preheat the oven to 325°. In a medium saucepan, heat 1 tablespoon of the olive oil until shimmering. Add the onion and cook over moderate heat, stirring occasionally, until golden, about 5 minutes. Add the salsa and simmer over mod­erately low heat for 15 minutes, stirring occasionally. Season with salt and pepper and keep warm./nStep 3: Meanwhile, in a large ovenproof nonstick or cast-iron skillet, heat the remaining 1 tablespoon of olive oil until shimmering. Add the spinach and cook over moderate heat, tossing, until just wilted, about 2 minutes. Pour the egg whites over the spinach and season with salt and pepper. Transfer the skillet to the oven and bake the egg whites for 12 to 15 minutes, until just set. Serve the frittata with the salsa./nStep 4: The salsa can be refrigerated for up to 5 days. Warm before serving.",https://www.foodandwine.com/thmb/LRecAAwvm35N55p-LUTTD0QnV8U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2013-xl-egg-white-and-spinach-frittata-with-salsa-ranchera-2000-929df4ccc94f4ce7876d21aa56256804.jpg
phoenicia-diners-breakfast-skillet,10 mins,10 mins,1,"1/2 tablespoon unsalted butter/n3 large eggs, beaten/n2 ounces flaked smoked trout (1/3 cup)/n1 tablespoon crème fraîche/n1 tablespoon finely grated Parmigiano-Reggiano cheese/n1 tablespoon snipped chives, plus more for garnish/nKosher salt/nToast, for serving","Step 1: In a small cast-iron skillet, heat the butter until it starts to foam. Add the eggs, trout, crème fraîche, Parmigiano-Reggiano, the 1 tablespoon of chives and a generous pinch of salt and cook over moderate heat, shaking the pan and stirring gently with a spatula, until small curds form and the eggs are just set, about 4 minutes. Garnish with snipped chives and serve with toast.",https://www.foodandwine.com/thmb/f-rQxgzP8Xyti7A9001pZfdQJQ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/recipe1115-xl-phoenicia-diners-breakfast-skillet_0-8bc9e6d84a8a4cf99d689d783d58b868.jpg
lobster-eggs-benedict,,,4,"Two 1-pound live lobsters/n8 large eggs/nFour 3/4-inch-thick slices of peasant bread, toasted/n3 large egg yolks/n2 tablespoons boiling water/n2 sticks (1/2 pound) unsalted butter, melted and hot/n2 tablespoons fresh lemon juice/nPinch of cayenne pepper","Step 1: In a large pot of boiling water, cook the lobsters until bright red all over, about 12 minutes. Let cool slightly under cold running water, then twist off the tails and claws. Crack the claws and remove the meat. Using kitchen scissors, slit the tail shells lengthwise, then remove the meat. Remove the dark intestinal veins and cut the tail meat crosswise into thin slices./nStep 2: Half fill 2 large deep skillets with water and bring to a simmer. Crack 4 of the eggs into each skillet and poach over moderate heat just until set, about 3 minutes. Using a slotted spoon, remove the eggs from the skillets and pat dry with paper towels. Arrange the lobster meat on the toast. Top each serving with 2 eggs and keep warm./nStep 3: Meanwhile, in a blender, briefly pulse the egg yolks to break them up. With the machine on, add the boiling water in a thin stream, then add the hot butter in a thin stream, stopping when you reach the milky liquid at the bottom; blend just until the butter is incorporated and the sauce is thick and pale. Add the lemon juice and cayenne. Spoon the hollandaise sauce onto the eggs and serve immediately.",https://www.foodandwine.com/thmb/RqtM54f3elg3DB7mkDG3C8Dxy74=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/lobster_eggs-f06c3273298c4f9e86785f999c66f2a3.jpg
lemon-curd-toasts-coconut,45 mins,3 hrs,24,"3 large eggs/n1 1/2 cups sugar/n3 tablespoons finely grated lemon zest plus 2/3 cup fresh lemon juice/n1/4 cup extra-virgin olive oil/n1/4 cup chopped cocoa butter (see Note)/nBaguette toasts, for serving/nFresh blackberries and toasted coconut flakes or chips, for garnish","Step 1: In a medium bowl, whisk the eggs with 3/4 cup of the sugar until combined. In a small saucepan, warm the lemon zest, lemon juice, olive oil, cocoa butter and the remaining 3/4 cup of sugar over moderate heat, stirring to dissolve the sugar. While whisking constantly, slowly drizzle half of the lemon juice mixture into the eggs. Add the egg mixture to the saucepan and cook the curd over moderately low heat, stirring constantly, until thickened and a candy thermometer inserted in the curd registers 186°, about 12 minutes./nStep 2: Strain the curd through a fine sieve into a blender. Puree until lightened, about 1 minute. Scrape into a bowl. Press a sheet of plastic wrap directly on the curd and let cool to room temperature. Refrigerate until cold and set, about 2 hours./nStep 3: Spread the lemon curd on the toasts and top with blackberries. Garnish with toasted coconut and serve./nStep 4: The lemon curd can be refrigerated for 1 week./nStep 5: Solid cocoa butter is available at natural food shops, Whole Foods and amazon.com.",https://www.foodandwine.com/thmb/DB5JgITY5E51GYeSBqrHTdULhzo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RECIPE1215-XL-lemon-curd-toasts-with-coconut-00041018347b4a69bfe289ba9753e01e.jpg
escarole-shakshuka,50 mins,1 hrs,,"¼ cup plus 1 tablespoon extra-virgin olive oil, divided/n1 (14-ounce) head escarole, chopped (about 8 cups)/n¾ cup finely chopped yellow onion/n¼ cup thinly sliced shallot/n4 medium garlic cloves, thinly sliced/n1 tablespoon harissa powder or 2 tablespoons harissa paste (such as New York Shuk)/n1 teaspoon coriander seeds, toasted and ground/n½ teaspoon cumin seeds, toasted and ground/n1 (28-ounce) can crushed San Marzano tomatoes/n1 (16-ounce) jar roasted red bell peppers, drained and finely chopped/n1 tablespoon kosher salt/n1 ½ teaspoons tomato paste/n1 teaspoon grated lemon zest plus 2 tablespoon fresh lemon juice/n6 large eggs/n4 ounces feta cheese, crumbled (about 1 cup)/nToasted baguette slices, for serving","Step 1: Heat 1 tablespoon oil in a 12-inch ovenproof skillet over medium-high. Add escarole; cook, stirring often, until just wilted, about 2 minutes. Transfer escarole to a colander to drain; set aside. Wipe skillet clean./nStep 2: Preheat oven to 375°F. Add remaining ¼ cup oil to skillet; heat over medium-high. Add onion, shallot, and garlic; cook, stirring often, until softened, about 5 minutes. Stir in harissa, ground coriander, and ground cumin; cook, stirring often, until fragrant, about 30 seconds. Stir in crushed tomatoes, red peppers, salt, tomato paste, and lemon zest and juice. Bring to a boil over medium-high. Reduce heat to medium-low; simmer, stirring often, until thickened, about 30 minutes./nStep 3: Stir drained escarole into tomato mixture; remove from heat. Create 6 wells in tomato mixture; crack 1 egg into each well. Bake in preheated oven until eggs are just set, 12 to 14 minutes. Sprinkle with feta; serve with baguette.",https://www.foodandwine.com/thmb/IDBzwpUIyrHXsizr23eeprQZC7k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/escarole-shakshuka-FT-RECIPE0121-be6e53fd53cd4bd2ba45501df8b74220.jpg
brock-eggs,1 hrs,3 hrs 30 mins,4,"8 ham hocks (6 pounds)/n1 onion, coarsely chopped/n1 leek, white and light green parts only, coarsely chopped/n1 celery rib, coarsely chopped/n1 carrot, coarsely chopped/n1 teaspoon black peppercorns/n1 bay leaf/n1 tablespoon coarsely chopped thyme leaves/nFine sea salt/nPepper/n3 tablespoons chopped flat-leaf parsley/n1 large egg yolk/n1 tablespoon white wine vinegar/n1/2 tablespoon Dijon mustard/n4 1/2 cups canola oil/n8 quail eggs/n1/2 cup all-purpose flour/n1/2 cup fine dry breadcrumbs/n2 large eggs, beaten/nCelery salt, for serving/nBaby beet greens, for garnish (optional)","Step 1: In a large pot, combine the ham hocks with the onion, leek, celery, carrot, peppercorns, bay leaf, thyme and 1 teaspoon of salt. Cover with 1 inch of cold water and simmer over moderately low heat, partially covered, until the meat is tender, about 2 1/2 hours. Strain the stock into a medium bowl. Transfer the ham hocks to a work surface to cool, then remove the meat from the bones and finely shred (discard the other solids). Transfer the ham to a medium bowl, stir in the parsley and season with pepper. Moisten with about 2 tablespoons of stock, stirring until the mixture comes together. Save the remaining stock for another use./nStep 2: Meanwhile, in a blender, combine the egg yolk, vinegar and mustard. With the machine running, slowly add 1/2 cup of the oil until the dressing is emulsified. Transfer to a small bowl and season with salt and pepper. Cover and keep chilled./nStep 3: In a saucepan, cover the quail eggs with 1 inch of cold water. Bring to a simmer, then cook over moderate heat for 2 1/2 minutes. Immediately transfer to a bowl of ice water. Let stand for 3 minutes, then peel carefully./nStep 4: Divide the meat mixture into 8 portions, about 3 tablespoons each. Place the meat in the palm of your hand, top with a quail egg, then enclose the egg in the meat. Transfer to a plate and refrigerate for 30 minutes./nStep 5: In a saucepan, heat the remaining oil to 350°. Arrange the flour, breadcrumbs and beaten eggs in separate bowls; season each with salt and pepper. Dip each egg patty in the flour, then the eggs, then the breadcrumbs, shaking off any excess. Working in 2 batches, fry over moderate heat, turning once, until golden brown, 2 to 3 minutes. With a slotted spoon, transfer to paper towels to drain. Spoon some mustard dressing onto plates. Halve the eggs and place on the plates. Sprinkle with celery salt and serve with beet greens, if desired./nStep 6: The recipe can be prepared through Step 4 and refrigerated overnight.",https://www.foodandwine.com/thmb/kiHjaWx7CCR5ueQjI3QUJtE_Mt4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/brock-eggs-XL-RECIPE0417-487212bbf8d9431884b2b7084a3a65f8.jpg
soft-scrambled-eggs-ham-and-truffles,,15 mins,2,"6 large eggs/n1/2 cup lower-sodium chicken broth/n2 tablespoons crème fraîche/n1/4 teaspoon kosher salt, plus more/n2 tablespoons unsalted butter/n1/2 ounce freshly shaved black truffle (optional)/n1 tablespoon finely chopped fresh chives/n6 thin slices jambon de Paris or other mild boiled ham/n2 brioche slices, toasted","Step 1: Whisk eggs in a medium saucepan until thoroughly blended. Whisk in broth. Place saucepan over low heat; cook, whisking gently and constantly and scraping bottom of pan so as not to incorporate any air (you should not see any bubbles on sides of pan), until eggs begin to thicken, form fine curds, and have the texture of loose polenta, 5 to 6 minutes. Quickly whisk in crème fraîche and salt until blended. Immediately remove from heat, and, using a large spoon or rubber spatula, stir in butter until melted. Stir in truffles, if using; chives; and salt to taste./nStep 2: Spoon eggs into warmed bowls, and drape with ham slices. Serve immediately with toasted brioche slices./nStep 3: Truffles are available from regalisfoods.com. Source jambon de Paris from 3pigs.com or fine butchers.",https://www.foodandwine.com/thmb/RrOzaTv91FexVXr6nK8ykbAcjOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/soft-scrambled-eggs-with-ham-and-truffles-FT-RECIPE1019-1ef8f78a620640689f23fc7409f5f49d.jpg
chickpeas-eggs-and-mustard-greens,,30 mins,6,"6 large eggs/nKosher salt/nPepper/n1/4 cup extra-virgin olive oil/n4 shallots, thinly sliced/n6 garlic cloves, thinly sliced/n1 Fresno chile, seeded and thinly sliced/nTwo 15-ounce cans chickpeas, rinsed and drained/n2 1/2 cups chicken stock or low-sodium broth/n4 ounces mustard greens, stemmed, leaves torn","Step 1: Preheat the oven to 350°. Pour 1 tablespoon of water into 6 cups of a 12-cup muffin tin. Crack an egg into each of the 6 water-filled cups and season with salt and pepper. Bake the eggs for 13 to 15 minutes, until the whites are just firm and the yolks are still runny. Using a slotted spoon, immediately transfer the eggs to a plate./nStep 2: Meanwhile, in a large skillet, heat the olive oil. Add the shallots, garlic and chile and cook over moderate heat until softened, about 5 minutes. Stir in the chickpeas and stock and bring to a boil. Add the mustard greens and cook until just wilted, 3 minutes. Season with salt and pepper. Ladle into 6 bowls and top with the eggs.",https://www.foodandwine.com/thmb/qqCrA73EDcrIAB591xwNiVc9W5U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RECIPE1215-XL-chickpeas-with-eggs-and-mustard-greens-02c908e06db54c7497c3464b1052dbdf.jpg
fried-eggs-jamon-and-caviar,,30 mins,4,"Extra-virgin olive oil, for frying/n4 large Yukon Gold potatoes, peeled and cut into 1/4-inch-thick fries/nKosher salt/n8 large eggs/n8 slices of jamón ibérico or serrano ham/n2 ounces caviar (optional), preferably from a sustainable producer","Step 1: Preheat the oven to 275°. Set a rack in a large baking sheet. In a large cast-iron skillet, heat 3/4 inch of olive oil to 300°. Working in 2 batches, fry the potatoes until golden brown and lightly crisp on the outside, about 7 minutes. Transfer the potatoes to the rack to drain and immediately season with kosher salt. Keep warm in the oven./nStep 2: Carefully transfer 1 cup of the hot olive oil from the cast-iron skillet to a large nonstick skillet. Crack 4 of the eggs into the skillet and gently fry over moderately low heat until the whites are set and the yolks are slightly runny, about 5 minutes. Transfer to a plate. Repeat with the remaining 4 eggs./nStep 3: Divide the fries among 4 plates. Top each plate with 2 fried eggs, 2 slices of ham and a spoonful of caviar, if desired, and serve immediately.",https://www.foodandwine.com/thmb/Gk52o9wu_xvk8RRqmlSernfhsAE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/fried-eggs-with-jamon-and-caviar-XL-RECIPE0917-d25a824d3f4d438a9d358766b2a176e5.jpg
brown-rice-salad-cranberries-walnuts-mint-and-feta,15 mins,1 hrs 15 mins,6,"3 tablespoons extra-virgin olive oil/n1 shallot, minced/n1 1/2 cups short-grain brown rice/n3 cups vegetable stock/nKosher salt/nFreshly ground pepper/n1/2 cup walnuts, toasted/n1/4 cup red wine vinegar/n1/2 cup dried cranberries/n2 tablespoons fresh mint, chopped/n3 ounces crumbled feta cheese","Step 1: In a large sauce pan, sauté shallot in 2 tablespoons of oil over moderate heat until softened, about three minutes. Add the rice and cook, stirring, for 3 minutes. Add the stock, salt, and pepper and bring to a boil. Cover and simmer over low heat until the broth is absorbed and the rice is tender, about 45 minutes. Remove from the heat and let stand, covered, for 10 minutes. Fluff with a fork./nStep 2: Preheat the oven to 350º. Spread the walnuts on a small baking sheet and bake for 10 minutes. Transfer to a plate and allow to cool for 15 minutes. Roughly chop./nStep 3: Combine rice with remaining tablespoon of olive oil, red wine vinegar, walnuts, cranberries, mint, and feta./nStep 4: The walnuts can be toasted the day before and stored in an air-tight container./nStep 5: If eating a gluten-free diet, be sure to use gluten-free stock.",https://www.foodandwine.com/thmb/gLi3Xkc2D3C6C_daUbpgjRjpfuA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201311-r-xl-brown-rice-salad-with-cranberries-walnuts-mint-and-feta-2000-38f51160a979464ca9250db140de239f.jpg
thai-style-bluefish-salad,30 mins,1 hrs,,"6 medium scallions, roots trimmed/n6  (6-inch) cilantro sprigs/n1 ½ pounds skinless bluefish fillets (3/4 inch thick)/n½ teaspoon kosher salt/n2 tablespoons fresh lime juice/n3 tablespoons uncooked white jasmine rice/n6 tablespoons fresh lime juice (from 3 limes)/n2 tablespoons fish sauce/n2 medium-size fresh red Thai chiles, stemmed and minced (2 1/2 teaspoons)/n1 ½ teaspoons cane sugar/n1 small red onion (about 5 ounces), halved and thinly sliced lengthwise (about 1 1/4 cups)/n½ cup packed fresh cilantro leaves, chopped/n½ cup packed fresh mint leaves, chopped/n3 medium scallions, thinly sliced (about 1/3 cup)/n½ teaspoon kosher salt/nCooked white jasmine rice, for serving/nLettuce leaves, for serving/nLime wedges, for serving","Step 1: Preheat oven to 350°F. Arrange 3 scallions and 3 cilantro sprigs in a large ceramic baking dish. Arrange fish fillets on top; sprinkle evenly with salt. Place remaining 3 scallions and remaining 3 cilantro sprigs on fish; drizzle with lime juice. Roast in preheated oven until fish flakes easily with a fork, 20 to 25 minutes. Remove from oven; let cool completely, about 15 minutes. Flake fish into small pieces. Discard scallions, cilantro sprigs, and drippings in baking dish./nStep 2: Toast rice in a small skillet over medium, stirring often, until light golden and fragrant, about 5 minutes. Transfer to a spice grinder; let cool about 5 minutes. Grind into a powder. (Alternatively, grind using a mortar and pestle.)/nStep 3: Whisk together lime juice, fish sauce, chiles, and sugar in a large bowl. Add fish, onion, cilantro, mint, scallions, salt, and ground toasted rice; stir well. Serve with cooked rice, lettuce leaves, and lime wedges./nStep 4: Bluefish salad can be refrigerated overnight. Let stand at room temperature 15 to 20 minutes, and fold in herbs just before serving./nStep 5: Dry, lime-inflected Riesling: Pewsey Vale Dry Riesling",https://www.foodandwine.com/thmb/7pgygV4pzW15Y1BWTPcmLJbaZ-k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Thai-Style-Bluefish-Salad-FT-RECIPE0522-d0284c5c723146f898a502326acbcc76.jpg
caramelized-ginger-chicken-sticky-rice,45 mins,3 hrs,4,"1/2 cup plus 2 tablespoons light brown sugar/n1/3 cup plus 2 tablespoons Asian fish sauce, such as nuoc mam (See Note)/n4 whole chicken legs/n1/4 cup vegetable oil/n6 scallions, white and green parts, thinly sliced/n3 tablespoons soy sauce/n1 1/2 tablespoons white vinegar/n1 tablespoon honey/n4 medium shallots, very finely chopped/n4 garlic cloves, very finely chopped/n1/2 cup minced peeled fresh ginger/n3 Thai chiles, very finely chopped/n1/2 cup sliced pickled daikon (See Note)/n2 1/2 cups Chinese sticky rice (about 18 ounces), soaked overnight in water and drained (See Note)/nSalt","Step 1: In a large, shallow baking dish, stir 2 tablespoons of the brown sugar with 2 tablespoons of the fish sauce until the sugar is dissolved. Add the chicken legs and coat them thoroughly with the marinade. Let the chicken stand at room temperature for 2 hours or refrigerate overnight./nStep 2: Preheat the oven to 450°. In a small saucepan, heat the vegetable oil. Add the scallions and cook over high heat until they sizzle, about 30 seconds. Remove from the heat./nStep 3: Meanwhile, in a medium enameled cast-iron casserole, combine the remaining 1/2 cup of brown sugar with 1 tablespoon of water and cook over moderately high heat, stirring a few times, until bubbling, about 3 minutes. Gradually stir in 1 1/2 cups of water, then stir in the remaining 1/3 cup of fish sauce along with the soy sauce, vinegar, honey and half of the scallion oil. Bring to a boil and simmer over moderately high heat until slightly reduced, about 5 minutes. Add the shallots, garlic, ginger and chiles and simmer over moderately low heat for 5 minutes./nStep 4: Roast the chicken legs in the upper third of the oven for about 15 minutes, until they are browned./nStep 5: Discard the chicken skin and nestle the legs in the sauce in the casserole. Tuck in the pickled daikon slices. Cover and simmer over low heat for about 15 minutes, basting the chicken a few times, until cooked through; add a few tablespoons of water if the sauce gets too thick and dark./nStep 6: Meanwhile, in a wide stainless steel or bamboo steamer, bring 1 1/2 inches of water to a boil. Moisten a double layer of cheesecloth that is large enough to cover the steamer basket and reach part of the way up the side; line the steamer basket with it. Add the drained rice to the basket and pat into an even layer. Cover and steam the rice over moderate heat for about 15 minutes, until tender./nStep 7: Uncover the rice and season lightly with salt. Spoon the remaining scallion oil over the rice and stir gently. Serve the chicken with the sticky rice./nStep 8: Nuoc mam is the word for fish sauce in Vietnamese. Some brands we like are Flying Lion, Three Crabs and Squid. Pickled daikon and Chinese sticky rice are available online or at Asian markets./nStep 9: Rich, minerally German Riesling.",https://www.foodandwine.com/thmb/3G6PBmApqVSA3Iku6Qnrd2errNo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201209-xl-caramelized-ginger-chicken-with-sticky-rice-dc592cf312d04e95a4d2cabd3c44257b.jpg
